longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.18,37.81,30,292,38,126,52,6.3624,NEAR BAY
-122.36,37.92,52,215,41,126,43,1.3929,NEAR BAY
-117.7,33.72,6,211,51,125,44,1.9659,<1H OCEAN
-122.27,37.8,10,105,42,125,39,0.9722,NEAR BAY
-121.31,37.9,38,226,44,125,38,2.9,INLAND
-118.24,34.12,34,80,26,125,35,0.8907,<1H OCEAN
-122.38,37.76,52,248,68,124,51,1.4886,NEAR BAY
-120.59,37.59,36,291,48,124,47,5.6945,INLAND
-115.72,32.75,16,348,99,123,54,2.0938,INLAND
-115.52,34.22,30,540,136,122,63,1.3333,INLAND
-120.26,38.13,17,301,94,122,47,4.0583,INLAND
-118.23,34.21,50,309,47,121,45,6.213,<1H OCEAN
-121.04,37.7,52,349,59,121,40,3.3036,INLAND
-121.39,39.39,52,189,34,121,37,3.0208,INLAND
-117.97,34.11,18,123,28,121,26,3.0417,INLAND
-121.9,37.37,20,78,72,120,69,1.0938,<1H OCEAN
-122.08,39.25,52,224,38,120,45,3.017,INLAND
-116.67,32.97,16,349,74,120,43,5.359,<1H OCEAN
-117.18,33.51,13,270,42,120,42,6.993,<1H OCEAN
-121.03,37.65,37,375,58,120,37,3.9844,INLAND
-118.42,34.16,17,277,70,119,59,4.0208,<1H OCEAN
-114.94,34.55,20,350,95,119,58,1.625,INLAND
-117.51,34.16,2,718,98,119,50,4.1,INLAND
-117.64,34.02,6,248,47,119,42,2.125,INLAND
-121.5,38.59,43,88,21,119,19,1.725,INLAND
-120.35,37.86,25,287,57,118,50,2.3056,INLAND
-122.44,37.74,23,184,44,118,40,4.5375,NEAR BAY
-119.09,35.43,28,254,35,118,37,4.8571,INLAND
-116.44,33.74,5,846,249,117,67,7.9885,INLAND
-118.69,34.08,23,204,40,117,41,9.7646,NEAR OCEAN
-114.57,33.52,27,173,35,117,34,2.0833,INLAND
-121.22,38.04,42,343,50,116,49,5.5376,INLAND
-123.18,39.23,18,243,55,115,54,2.125,<1H OCEAN
-117.27,33.93,2,337,55,115,49,3.1042,INLAND
-121.42,38.55,35,182,39,115,43,2.6417,INLAND
-121.93,37.78,2,227,35,114,49,3.1591,<1H OCEAN
-120.3,38.9,11,1961,435,113,53,0.9227,INLAND
-119.05,34.19,39,143,36,113,33,2.8942,NEAR OCEAN
-122.39,37.79,52,94,24,113,27,4.6563,NEAR BAY
-115.96,33.3,27,322,81,112,57,1.125,INLAND
-120.06,39.01,19,2967,528,112,48,4.0714,INLAND
-121.76,41.5,31,602,153,112,47,1.0667,INLAND
-122.01,36.99,29,227,45,112,41,6.4469,NEAR OCEAN
-116.9,34.69,10,337,102,108,50,0.4999,INLAND
-122.61,38.93,14,231,36,108,31,4.3897,INLAND
-117.08,33.12,43,107,44,107,48,0.7054,<1H OCEAN
-116.88,34.19,38,898,259,106,52,1.6875,INLAND
-119.02,35.39,52,191,52,106,49,2.0455,INLAND
-119.9,36.2,43,187,38,106,40,1.875,INLAND
-120.67,37.37,18,164,30,104,32,1.6607,INLAND
-121.98,38.36,30,140,35,103,35,4.163,INLAND
-119.14,34.23,8,243,75,102,80,2.5714,NEAR OCEAN
-116.42,33.51,26,186,48,102,39,2.5625,INLAND
-121.82,38.02,46,176,43,101,40,2.2361,INLAND
-122.05,38.25,39,199,36,101,38,6.2299,INLAND
-116.97,32.83,23,149,32,101,34,2.6458,<1H OCEAN
-117.53,34.02,19,256,34,101,28,5.3269,INLAND
-118.37,34.1,37,407,67,100,47,15.0001,<1H OCEAN
-122.37,37.95,35,215,45,100,34,1.6023,NEAR BAY
-118.37,33.96,26,138,23,100,20,4.875,<1H OCEAN
-118.25,34.11,52,125,42,99,40,3.4375,<1H OCEAN
-117.61,34.01,25,352,41,99,34,3.9696,INLAND
-115.9,32.69,18,414,86,98,54,1.5417,INLAND
-118.59,35.72,28,1491,408,98,48,1.4205,INLAND
-122.24,37.85,37,334,54,98,47,4.9643,NEAR BAY
-120.06,39.15,22,2213,372,98,42,1.1912,INLAND
-119.93,38.94,27,1709,408,97,44,2.4917,INLAND
-118.21,33.79,33,32,18,96,36,4.5938,NEAR OCEAN
-121.28,38.53,18,224,38,95,41,3.1042,INLAND
-117.81,33.86,18,133,29,95,23,3.5625,<1H OCEAN
-122.29,37.82,2,158,43,94,57,2.5625,NEAR BAY
-122.71,38.91,20,41,18,94,10,1.375,INLAND
-117.84,33.76,16,238,51,93,50,5.375,<1H OCEAN
-121,39,4,170,23,93,27,10.9891,INLAND
-122.39,37.72,52,135,34,93,26,2.1484,NEAR BAY
-122.6,38.9,23,292,56,92,41,2.9583,INLAND
-119.14,34.49,17,321,44,92,39,7.75,<1H OCEAN
-121.07,37.71,39,223,37,92,37,3.375,INLAND
-120.88,37.53,18,239,39,92,36,5.3168,INLAND
-122.24,38.25,33,213,36,91,33,4.9167,NEAR BAY
-120.79,37.08,9,97,20,91,22,2.9063,INLAND
-122.29,38.3,52,144,54,89,48,1.0096,NEAR BAY
-122.41,37.94,52,154,33,89,38,3.2875,NEAR BAY
-117.35,33.99,45,131,28,89,31,2.6071,INLAND
-122.52,37.88,52,176,50,88,46,3.8068,NEAR BAY
-121.99,38.15,36,263,73,88,42,2.5313,INLAND
-119.93,37.85,18,473,115,88,41,4.0833,INLAND
-119.51,37.32,14,362,78,88,39,3.5893,INLAND
-122.39,37.76,52,157,28,88,27,3.675,NEAR BAY
-121.02,37.71,25,207,41,87,43,3.6023,INLAND
-123.43,40.22,20,133,35,87,37,3.625,INLAND
-118.25,34.06,20,41,17,87,25,1.5491,<1H OCEAN
-120.32,38.71,13,1115,255,86,32,3.5667,INLAND
-122.91,39.18,43,89,18,86,27,2.0208,INLAND
-122.12,37.65,26,162,27,86,25,2.375,NEAR BAY
-118.24,34.08,52,109,20,86,24,4.9844,<1H OCEAN
-122.29,37.82,49,135,29,86,23,6.1183,NEAR BAY
-122.74,39.71,16,255,73,85,38,1.6607,INLAND
-120.21,39.35,7,914,159,85,34,4.7917,INLAND
-121.93,38.31,25,185,32,85,32,4.875,INLAND
-118.39,34.04,41,101,23,85,30,4.125,<1H OCEAN
-122.11,37.31,7,189,26,84,29,13.8093,<1H OCEAN
-121.78,39.71,8,140,28,84,29,2.125,INLAND
-114.49,33.97,17,2809,635,83,45,1.6154,INLAND
-121.85,37.72,43,228,40,83,42,10.3203,INLAND
-118.32,34.18,49,192,41,83,38,3.0179,<1H OCEAN
-122.03,37.69,20,200,25,83,31,6.5,NEAR BAY
-120.19,38.42,11,1568,369,82,33,3.125,INLAND
-116,33.19,16,245,57,81,33,1.2639,INLAND
-119.19,34.25,12,232,37,79,35,4.1667,NEAR OCEAN
-119.81,37.67,24,172,42,79,30,3.8333,INLAND
-121.2,37.78,4,58,29,79,29,3.375,INLAND
-116.18,33.69,17,89,19,79,21,2.375,INLAND
-122.03,37.18,10,212,38,78,21,6.0622,<1H OCEAN
-121.23,37.94,20,268,78,77,49,1.125,INLAND
-117.2,32.77,30,156,45,77,40,3.2679,NEAR OCEAN
-122.16,37.45,50,196,41,76,42,7.6129,NEAR BAY
-117.3,34.1,49,60,11,76,13,2.5625,INLAND
-122.56,37.9,24,221,41,75,38,5.1292,NEAR BAY
